"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.629,0.36
1,2,0.226,0.156
1,3,0.709,0.244
2,1,1.013,0.998
2,2,1.251,1.242
2,3,0.998,1
3,1,1.957,1.685
3,2,1.951,2.174
3,3,6.148,2.248
4,1,0.566,1.016
4,2,0.421,1.101
4,3,0.501,1.412
5,1,3.275,1.855
5,2,1.172,1.808
5,3,6.497,1.996
6,1,0.054,0.016
6,2,0.002,0
6,3,0.544,0.212
7,1,2.678,3.376
7,2,3.852,4.394
7,3,2.611,4.839
8,1,4.41,5.846
8,2,4.342,5.23
8,3,6.568,5.754
9,1,5.282,2.939
9,2,4.94,2.763
9,3,3.363,1.796
10,1,0.591,0.906
10,2,1.595,0.329
10,3,0.689,0.575
11,1,2.367,0.548
11,2,0.797,0.64
11,3,0.785,0.725
12,1,1.653,1.103
12,2,1.816,1.344
12,3,2,1.306