"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.04,0
1,2,0,0
1,3,0.08,0
2,1,1,0.36
2,2,1,0.8
2,3,0.08,0.2
3,1,1.2,0.48
3,2,1.24,1.24
3,3,2.76,1.08
4,1,0.16,0.2
4,2,0,0.04
4,3,0,0.72
5,1,1.28,0.04
5,2,0.04,0.12
5,3,1.52,0.04
6,1,0,0
6,2,0,0
6,3,0,0
7,1,0.92,0.64
7,2,0.88,0.88
7,3,0.84,0.96
8,1,0.4,0.32
8,2,0.32,0.28
8,3,1.36,0.64
9,1,3.44,1.44
9,2,7.48,2.32
9,3,1.84,1.32
10,1,0.52,0.32
10,2,0.08,0
10,3,0.08,0
11,1,0,0
11,2,0.04,0
11,3,0.08,0
12,1,1,1
12,2,1.92,1
12,3,2,1