"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.131,0
1,2,0,0
1,3,0.847,0
2,1,0.971,1
2,2,0.971,1.343
2,3,0.737,0.993
3,1,1.489,2.197
3,2,1.314,3.796
3,3,7.161,5.124
4,1,1,4.292
4,2,0.737,5.628
4,3,0.496,6.511
5,1,13.876,6.46
5,2,1.511,6.168
5,3,16.672,5.796
6,1,0.124,0.146
6,2,0,0
6,3,2.803,1.883
7,1,4.876,11.723
7,2,12.423,14.898
7,3,10.35,16.496
8,1,17.869,16.92
8,2,12.883,15.883
8,3,19.774,16.584
9,1,6.635,6.934
9,2,8.299,4.584
9,3,2.474,2.752
10,1,0.949,1.781
10,2,2.825,0.54
10,3,1,1.015
11,1,1.774,0.066
11,2,0.934,0.212
11,3,0.723,0.255
12,1,0.956,0.927
12,2,1,0.934
12,3,1.62,0.971