"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.494,1.433
1,2,1.434,1.186
1,3,1.578,1.299
2,1,1.06,1.081
2,2,1.156,1.275
2,3,1.422,1.438
3,1,2.404,4.368
3,2,2.898,5.51
3,3,16.151,6.272
4,1,1.622,5.455
4,2,1.291,5.985
4,3,1.306,5.349
5,1,4.635,1.017
5,2,0.182,0.197
5,3,0.506,0.161
6,1,0,0
6,2,0,0
6,3,0.504,0.312
7,1,2.677,2.889
7,2,2.427,4.354
7,3,2.291,4.041
8,1,11.691,6.907
8,2,3.572,6.782
8,3,4.345,5.604
9,1,1.083,1.015
9,2,0.002,0
9,3,0.001,0
10,1,0,0
10,2,0,0
10,3,0.031,0
11,1,0.723,0.564
11,2,1.153,0.945
11,3,1.306,0.995
12,1,1.999,1.568
12,2,2.018,1.723
12,3,2.007,1.836