"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,4.167,4.071
1,2,4.238,4.269
1,3,3.769,3.677
2,1,1.832,1.448
2,2,1.29,0.999
2,3,1.05,0.753
3,1,2.089,1.944
3,2,1.922,2.299
3,3,5.144,2.063
4,1,1.334,1.799
4,2,1.343,1.932
4,3,1.592,1.753
5,1,0.712,0.737
5,2,0.577,0.565
5,3,0.981,0.696
6,1,1.189,1.508
6,2,2.525,1.841
6,3,1.488,1.675
7,1,2.444,2.673
7,2,3.11,3.339
7,3,2.989,3.238
8,1,3.659,2.217
8,2,1.779,1.987
8,3,1.608,1.504
9,1,0.002,0
9,2,0,0
9,3,0,0
10,1,0.131,0.035
10,2,0.245,0.131
10,3,0.677,0.721
11,1,3.557,1.604
11,2,2.241,1.835
11,3,2.445,2.08
12,1,2.55,2.356
12,2,2.761,2.533
12,3,3.384,3.185