"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.167,0.577
1,2,0.731,0.538
1,3,1.218,0.679
2,1,1.474,1.256
2,2,1.692,1.269
2,3,0.897,0.949
3,1,2.179,1.718
3,2,2.179,1.936
3,3,8.013,4.718
4,1,8.141,13.603
4,2,7.051,17.077
4,3,9.936,17.128
5,1,29.385,12.09
5,2,11.038,13.218
5,3,18.936,12.256
6,1,1.949,0.91
6,2,0,0
6,3,0,0
7,1,11.436,10.462
7,2,7.641,12.551
7,3,5.897,13.846
8,1,34.423,18.385
8,2,12.321,18
8,3,17.628,18.449
9,1,4.59,3.256
9,2,5.641,2.731
9,3,6.846,2.013
10,1,1.949,1.436
10,2,2.885,0.756
10,3,0.487,0.667
11,1,2.5,0.936
11,2,3.872,1.051
11,3,1.103,0.692
12,1,3.526,0.974
12,2,1.064,0.808
12,3,1.705,0.987