"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.357,0
1,2,0.143,0
1,3,0.571,0.071
2,1,0.071,0
2,2,0.214,0
2,3,0,0
3,1,1,2
3,2,1.143,2.929
3,3,14.357,6.429
4,1,3.357,10.143
4,2,1.429,14
4,3,1.429,13.5
5,1,15.5,5.214
5,2,2,4.857
5,3,8.643,4.357
6,1,0,0
6,2,0,0
6,3,1,0.857
7,1,4.429,8.5
7,2,4.286,12.071
7,3,3.143,12.857
8,1,45.857,22.714
8,2,5,23.143
8,3,7.286,17.786
9,1,2,2.929
9,2,1,0.929
9,3,1.643,0
10,1,0,0
10,2,0,0
10,3,0,0
11,1,1,1
11,2,2.071,1.143
11,3,1,1
12,1,1,0.429
12,2,1,0.071
12,3,1,0.143