"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.266,0.979
1,2,1.01,0.92
1,3,1.199,1.101
2,1,1.318,1.448
2,2,1.458,1.58
2,3,1.199,1.21
3,1,2.479,2.524
3,2,2.587,2.587
3,3,6.045,3.976
4,1,5.927,10.199
4,2,5.573,12.437
4,3,6.287,12.455
5,1,17.818,6.462
5,2,5.427,7.517
5,3,13.423,6.916
6,1,1.157,0.51
6,2,0.003,0
6,3,0.003,0.003
7,1,6.294,5.717
7,2,4.913,7.409
7,3,3.552,8.042
8,1,27.451,14.339
8,2,12.598,15.815
8,3,23.605,16.22
9,1,5.724,2.983
9,2,6.787,3.206
9,3,5.671,2.42
10,1,5.003,3.661
10,2,3.853,2.329
10,3,1.839,2.056
11,1,2.566,1.724
11,2,3.605,1.864
11,3,1.297,1.43
12,1,3.364,1.563
12,2,1.878,1.311
12,3,3.08,1.559