"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.473,0.071
1,2,0.259,0.112
1,3,0.743,0.214
2,1,1.166,1.162
2,2,1.249,1.378
2,3,1.067,1.043
3,1,2.169,1.945
3,2,2.031,2.577
3,3,3.038,2.487
4,1,0.632,1.886
4,2,0.133,1.917
4,3,0.159,2.914
5,1,4.748,3.608
5,2,1.363,4.233
5,3,10.691,3.876
6,1,0.568,0.109
6,2,0,0
6,3,0.667,0.311
7,1,3.589,4.803
7,2,5.572,5.824
7,3,4.437,6.61
8,1,5.423,5.328
8,2,4.938,4.936
8,3,7.143,6.314
9,1,15.086,6.834
9,2,14.855,7.477
9,3,5.632,5.511
10,1,0.933,2.204
10,2,1.724,0.425
10,3,0.784,0.855
11,1,1.102,0.05
11,2,0.62,0.114
11,3,0.589,0.299
12,1,0.924,0.91
12,2,1.392,1.012
12,3,1.912,1.078