"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,1.776,1.696
1,2,1.742,1.642
1,3,1.83,1.559
2,1,1.17,1.343
2,2,1.178,1.492
2,3,1.029,0.99
3,1,1.17,1.71
3,2,0.952,2.314
3,3,7.545,3.088
4,1,1.599,4.071
4,2,1.596,5.294
4,3,1.643,4.742
5,1,3.827,1.132
5,2,0.273,0.233
5,3,1.36,0.233
6,1,0,0
6,2,0,0
6,3,1.336,1.046
7,1,4.674,5.492
7,2,3.983,9.115
7,3,3.219,8.396
8,1,22.555,11.886
8,2,3.38,12.202
8,3,7.073,9.679
9,1,1.292,1.56
9,2,0,0
9,3,0,0
10,1,0.002,0
10,2,0,0
10,3,0,0
11,1,1.027,0.915
11,2,1.487,1
11,3,1.745,1.02
12,1,1.961,1.769
12,2,1.99,1.812
12,3,2.046,1.847