"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.844,0.877
1,2,0.735,0.927
1,3,1.009,1.281
2,1,0.988,1.08
2,2,1.326,1.442
2,3,1.52,1.596
3,1,3.085,6.428
3,2,3.314,7.79
3,3,21.007,8.144
4,1,3.139,13.34
4,2,2.742,15.626
4,3,2.922,15.206
5,1,14.757,4.466
5,2,3.007,4.251
5,3,7.624,3.754
6,1,0.317,0.156
6,2,0,0
6,3,0,0
7,1,1.773,2.842
7,2,1.499,3.927
7,3,1.641,3.652
8,1,17.222,6.946
8,2,2.844,7.085
8,3,10.681,6.227
9,1,1.4,0.773
9,2,1.158,0.262
9,3,0.827,0.236
10,1,1.104,0.655
10,2,0.898,0.515
10,3,0.48,0.534
11,1,0.894,0.426
11,2,1.047,0.638
11,3,0.839,0.823
12,1,1.868,1.087
12,2,1.981,1.024
12,3,2.34,1.116