"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.963,0.488
1,2,0.659,0.463
1,3,0.97,0.532
2,1,0.891,0.955
2,2,0.95,1.114
2,3,0.47,0.465
3,1,0.781,1.199
3,2,0.689,1.59
3,3,8.796,4.751
4,1,3.438,10.134
4,2,2.373,13.59
4,3,2.493,13.05
5,1,14.567,5.463
5,2,2.769,4.697
5,3,8.065,4.388
6,1,0.182,0.02
6,2,0,0
6,3,0.983,0.587
7,1,5.706,8.246
7,2,4.915,11.888
7,3,3.704,12.174
8,1,32.933,18.585
8,2,6.065,18.614
8,3,9.821,15.366
9,1,2.04,2.54
9,2,1.888,0.525
9,3,1.318,0.182
10,1,0.336,0.095
10,2,0.323,0.01
10,3,0.015,0.012
11,1,1.216,0.776
11,2,2.04,1.042
11,3,1.045,0.98
12,1,1.577,0.833
12,2,1.231,0.736
12,3,1.296,0.935