"Month","Dekad","Rainfall (mm)","Average (mm)"
1,1,0.762,0.14
1,2,0.576,0.154
1,3,1.163,0.497
2,1,1.299,1.651
2,2,1.532,1.831
2,3,1.122,1.273
3,1,3.82,3.081
3,2,3.326,3.805
3,3,4.198,4.451
4,1,1.494,4.852
4,2,1.924,5.619
4,3,3.035,7.392
5,1,15.61,11.142
5,2,8.026,12.91
5,3,23.674,12.767
6,1,3.262,1.654
6,2,0,0
6,3,0.445,0.503
7,1,5.881,7.169
7,2,8.828,8.66
7,3,8.863,10.942
8,1,16.887,11.529
8,2,12.328,12.593
8,3,18.445,14.814
9,1,21.52,13.064
9,2,22.026,13.613
9,3,15.541,10.544
10,1,2.538,5.843
10,2,5.227,2.084
10,3,1.703,2.465
11,1,3.843,0.779
11,2,1.209,0.683
11,3,1.067,0.686
12,1,1.177,0.811
12,2,1.25,0.613
12,3,2.11,0.933